dataset,stage,reason,n_instances,n_features,n_classes
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,inelig_manifeste,"p=1000 hors [5, 500]",1600.0,1000.0,2.0
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,candidat,,1600.0,20.0,2.0
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,exclu_amendement1,amendement 1: famille 'gametes' deja representee,1600.0,20.0,2.0
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,exclu_amendement1,amendement 1: famille 'gametes' deja representee,1600.0,20.0,2.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,exclu_amendement1,amendement 1: famille 'gametes' deja representee,1600.0,20.0,2.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,exclu_amendement1,amendement 1: famille 'gametes' deja representee,1600.0,20.0,2.0
Hill_Valley_with_noise,candidat,,1212.0,100.0,2.0
Hill_Valley_without_noise,exclu_amendement1,amendement 1: famille 'hill' deja representee,1212.0,100.0,2.0
_deprecated_australian,inelig_manifeste,"n=690 hors [1000, 100000]",690.0,14.0,2.0
_deprecated_auto,inelig_manifeste,"n=202 hors [1000, 100000]",202.0,25.0,5.0
_deprecated_breast,inelig_manifeste,"n=699 hors [1000, 100000]",699.0,10.0,2.0
_deprecated_breast_cancer_wisconsin,inelig_manifeste,"n=569 hors [1000, 100000]",569.0,30.0,2.0
_deprecated_breast_w,inelig_manifeste,"n=699 hors [1000, 100000]",699.0,9.0,2.0
_deprecated_buggyCrx,inelig_manifeste,"n=690 hors [1000, 100000]",690.0,15.0,2.0
_deprecated_car,exclu_amendement1,amendement 1: _deprecated_*,1728.0,6.0,4.0
_deprecated_car_evaluation,exclu_amendement1,amendement 1: _deprecated_*,1728.0,21.0,4.0
_deprecated_cleve,inelig_manifeste,"n=303 hors [1000, 100000]",303.0,13.0,2.0
_deprecated_cleveland,inelig_manifeste,"n=303 hors [1000, 100000]",303.0,13.0,5.0
_deprecated_cleveland_nominal,inelig_manifeste,"n=303 hors [1000, 100000]",303.0,7.0,5.0
_deprecated_cmc,exclu_amendement1,amendement 1: _deprecated_*,1473.0,9.0,3.0
_deprecated_colic,inelig_manifeste,"n=368 hors [1000, 100000]",368.0,22.0,2.0
_deprecated_contraceptive,exclu_amendement1,amendement 1: _deprecated_*,1473.0,9.0,3.0
_deprecated_credit_a,exclu_historique,jeton d'exclusion historique 'credit',,,
_deprecated_credit_g,exclu_historique,jeton d'exclusion historique 'credit',,,
_deprecated_crx,inelig_manifeste,"n=690 hors [1000, 100000]",690.0,15.0,2.0
_deprecated_diabetes,inelig_manifeste,"n=768 hors [1000, 100000]",768.0,8.0,2.0
_deprecated_flare,exclu_amendement1,amendement 1: _deprecated_*,1066.0,10.0,2.0
_deprecated_german,exclu_amendement1,amendement 1: _deprecated_*,1000.0,20.0,2.0
_deprecated_glass,inelig_manifeste,"n=205 hors [1000, 100000]",205.0,9.0,5.0
_deprecated_heart_c,inelig_manifeste,"n=303 hors [1000, 100000]",303.0,13.0,2.0
_deprecated_heart_h,inelig_manifeste,"n=294 hors [1000, 100000]",294.0,13.0,2.0
_deprecated_heart_statlog,inelig_manifeste,"n=270 hors [1000, 100000]",270.0,13.0,2.0
_deprecated_horse_colic,inelig_manifeste,"n=368 hors [1000, 100000]",368.0,22.0,2.0
_deprecated_house_votes_84,inelig_manifeste,"n=435 hors [1000, 100000]",435.0,16.0,2.0
_deprecated_hungarian,inelig_manifeste,"n=294 hors [1000, 100000]",294.0,13.0,2.0
_deprecated_pima,inelig_manifeste,"n=768 hors [1000, 100000]",768.0,8.0,2.0
_deprecated_prnn_fglass,inelig_manifeste,"n=205 hors [1000, 100000]",205.0,9.0,5.0
_deprecated_solar_flare_1,inelig_manifeste,"n=315 hors [1000, 100000]",315.0,12.0,5.0
_deprecated_solar_flare_2,exclu_amendement1,amendement 1: _deprecated_*,1066.0,12.0,6.0
_deprecated_vote,inelig_manifeste,"n=435 hors [1000, 100000]",435.0,16.0,2.0
_deprecated_wdbc,inelig_manifeste,"n=569 hors [1000, 100000]",569.0,30.0,2.0
